Nivel Jerarquico Empleo,Nivel Educativo,Naturaleza Jurídica,Municipio de Nacimiento,Tipo de Nombramiento,Sector Administrativo,Random Forest,Tree,Random Forest (ADMINISTRATIVO),Random Forest (ASESOR),Random Forest (ASISTENCIAL),Random Forest (AUXILIAR),Random Forest (CONTROLADOR DE TRÁNSITO AÉREO),Random Forest (DIRECTIVO),Random Forest (DIRECTIVO DOCENTE),Random Forest (DOCENTE),Random Forest (EJECUTIVO),Random Forest (ESPECIALISTA),Random Forest (INSPECTOR DE SEGURIDAD AÉREA),Random Forest (NO APLICA),Random Forest (OPERATIVO),Random Forest (ORIENTADOR DE DEFENSA O ESPÍRITU),Random Forest (PERSONERO),Random Forest (PROFESIONAL),Random Forest (PROFESIONAL ESPECIALIZADO),Random Forest (PROFESOR TITULAR),Random Forest (PROFESOR UNIVERSITARIO),Random Forest (SECRETARIOS),Random Forest (TRABAJADOR OFICIAL),Random Forest (TÉCNICO),Tree (ADMINISTRATIVO),Tree (ASESOR),Tree (ASISTENCIAL),Tree (AUXILIAR),Tree (CONTROLADOR DE TRÁNSITO AÉREO),Tree (DIRECTIVO),Tree (DIRECTIVO DOCENTE),Tree (DOCENTE),Tree (EJECUTIVO),Tree (ESPECIALISTA),Tree (INSPECTOR DE SEGURIDAD AÉREA),Tree (NO APLICA),Tree (OPERATIVO),Tree (ORIENTADOR DE DEFENSA O ESPÍRITU),Tree (PERSONERO),Tree (PROFESIONAL),Tree (PROFESIONAL ESPECIALIZADO),Tree (PROFESOR TITULAR),Tree (PROFESOR UNIVERSITARIO),Tree (SECRETARIOS),Tree (TRABAJADOR OFICIAL),Tree (TÉCNICO),Fold,Nivel Entidad,Meses de Experiencia Independiente,Orden,valor total experiencia (Meses)
ASESOR,POSTGRADO,ESPECIAL,BOGOTA,LIBRE NOMBRAMIENTO Y REMOCIÓN,NO APLICA,PROFESIONAL,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.625,0,0,0,0,0,0.025,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0.285714,0,0.428571,0,0,0,0,0,0.142857,4,CENTRAL,0,NACIONAL,351
PROFESIONAL,PREGRADO,FISCALÍA GENERAL DE LA NACIÓN,ZIPAQUIRA,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.150253,0,0,0,0.0666667,0,0,0,0,0,0,0,0.100126,0,0.682955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,314
PROFESIONAL,POSTGRADO,ESPECIAL,IBAGUE,LIBRE NOMBRAMIENTO Y REMOCIÓN,JUSTICIA Y DEL DERECHO,TÉCNICO,PROFESIONAL,0,0,0.0833333,0,0,0.155714,0,0,0,0,0,0,0,0,0,0.326667,0,0,0,0,0,0.434286,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.3,4,NO APLICA,0,TERRITORIAL,229
PROFESIONAL,PREGRADO,ESTABLECIMIENTO PÚBLICO,BOGOTA,PROVISIONAL,DEFENSA,PROFESIONAL,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814722,0,0,0,0,0,0.185278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0.285714,4,CENTRAL,0,NACIONAL,363
PROFESIONAL,POSTGRADO,ALCALDÍA,BOGOTA,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0,0.245,0,0,0.025,0,0,0,0,0,0,0,0,0,0.605,0,0,0,0,0,0.125,0,0,0.142857,0,0,0.142857,0,0,0,0,0,0,0,0,0,0.428571,0,0,0,0,0,0.285714,4,DESCENTRALIZADO,0,NACIONAL,324
TÉCNICO,POSTGRADO,DEPARTAMENTO ADMINISTRATIVO,PUERTO CARREÑO,PROVISIONAL,"AGROPECUARIO, PESQUERO Y DE DESARROLLO RURAL",DIRECTIVO,DIRECTIVO,0,0,0,0,0,0.969048,0,0,0,0,0,0,0,0,0,0.0309524,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,4,CENTRAL,0,TERRITORIAL,229
PROFESIONAL,POSTGRADO,PERSONERÍA DISTRITAL,MEDELLIN,ESCALAFONADO EN CARRERA,EDUCACIÓN,PROFESIONAL,ASESOR,0,0.12,0,0,0,0.139286,0,0,0,0,0,0,0,0.14619,0,0.594524,0,0,0,0,0,0,0,0.444444,0,0,0,0,0,0,0,0,0,0,0,0.111111,0,0.444444,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,725
ASISTENCIAL,PREGRADO,ESTABLECIMIENTO PÚBLICO,EL PAUJIL,ESCALAFONADO EN CARRERA,NO APLICA,TÉCNICO,PROFESIONAL,0,0.0166667,0,0,0,0.05,0,0,0,0,0,0.0733333,0,0,0,0.41,0,0,0,0,0,0.45,0,0.222222,0,0,0,0,0,0,0,0,0,0.111111,0,0,0,0.555556,0,0,0,0,0,0.111111,4,CENTRAL,0,NACIONAL,415
DIRECTIVO,POSTGRADO,ÓRGANO AUTÓNOMO,BOGOTA,PERIODO PRUEBA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.0272727,0,0,0,0.195833,0,0,0,0,0,0,0,0.0181818,0,0.758712,0,0,0,0,0,0,0,0.166667,0,0,0,0.0833333,0,0,0,0,0,0,0,0.0833333,0,0.583333,0,0,0,0,0,0.0833333,4,DESCENTRALIZADO,0,NACIONAL,361
PROFESIONAL,POSTGRADO,ESTABLECIMIENTO PÚBLICO,CALARCA,PROVISIONAL,DEFENSA,NO APLICA,NO APLICA,0,0.16619,0.0485714,0,0,0.0792857,0,0,0,0,0,0.417619,0,0.228333,0,0.06,0,0,0,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0,0.333333,0,0.333333,0,0.222222,0,0,0,0,0,0,4,CENTRAL,0,NACIONAL,746
PROFESIONAL,POSTGRADO,ESPECIAL,PASTO,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.05,0.0333333,0,0,0,0,0,0,0,0,0,0,0,0,0.916667,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0.857143,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,106
PROFESIONAL,POSTGRADO,FISCALÍA GENERAL DE LA NACIÓN,BOGOTA,PERIODO PRUEBA,AMBIENTE Y DESARROLLO SOSTENIBLE,PROFESIONAL,PROFESIONAL,0,0.0678846,0,0,0,0,0,0,0,0,0,0.129828,0,0.114049,0,0.424437,0,0,0,0,0,0.263802,0,0.0833333,0,0,0,0,0,0,0,0,0,0.0833333,0,0.25,0,0.416667,0,0,0,0,0,0.166667,4,DESCENTRALIZADO,0,NACIONAL,218
DIRECTIVO,POSTGRADO,FISCALÍA GENERAL DE LA NACIÓN,SAN GIL,PROVISIONAL,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.0142857,0.0628571,0,0,0,0,0,0,0,0,0,0,0,0,0.868571,0,0,0,0,0,0.0542857,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0.818182,0,0,0,0,0,0.0909091,4,CENTRAL,0,TERRITORIAL,142
PROFESIONAL,POSTGRADO,ESTABLECIMIENTO PÚBLICO,CALI,PERIODO FIJO,HACIENDA Y CRÉDITO PÚBLICO,TÉCNICO,TÉCNICO,0,0,0.0428571,0,0.1,0.025,0,0,0,0,0,0.0666667,0,0,0,0.37381,0,0,0,0,0,0.391667,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.5,4,CENTRAL,0,NACIONAL,622
TÉCNICO,PREGRADO,ALCALDÍA,MARQUETALIA,ESCALAFONADO EN CARRERA,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",PROFESIONAL,PROFESIONAL,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927778,0,0,0,0,0,0.0472222,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0.25,4,CENTRAL,0,NACIONAL,699
PROFESIONAL,PREGRADO,CONTRALORÍA GENERAL DE LA REPÚBLICA,SUTATENZA,ESCALAFONADO EN CARRERA,PRESIDENCIA DE LA REPÚBLICA,PROFESIONAL,PROFESIONAL,0,0,0,0,0,0.0153846,0,0,0,0,0,0,0,0,0,0.853535,0,0,0,0,0,0.131081,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0.142857,4,DESCENTRALIZADO,0,NACIONAL,214
PROFESIONAL,POSTGRADO,MINISTERIO,BUCARAMANGA,LIBRE NOMBRAMIENTO Y REMOCIÓN,"AGROPECUARIO, PESQUERO Y DE DESARROLLO RURAL",PROFESIONAL,PROFESIONAL,0,0,0,0,0,0,0,0,0.263254,0,0,0,0,0,0,0.45873,0,0,0,0,0,0.278016,0,0,0.0909091,0,0,0,0,0,0.0909091,0,0,0.0909091,0,0,0,0.454545,0,0,0,0,0,0.272727,4,CENTRAL,0,NACIONAL,284
TÉCNICO,POSTGRADO,INSTITUTO CIENTÍFICO Y TECNOLÓGICO,GIRARDOT,LIBRE NOMBRAMIENTO Y REMOCIÓN,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.274881,0,0,0,0,0,0,0,0,0,0,0,0.111071,0,0.504762,0,0,0,0,0,0.109286,0,0.111111,0,0,0,0.111111,0,0,0,0,0,0,0,0.111111,0,0.444444,0,0,0,0,0,0.222222,4,DESCENTRALIZADO,0,NACIONAL,312
PROFESIONAL,PREGRADO,ALCALDÍA,MEDINA,PROVISIONAL,HACIENDA Y CRÉDITO PÚBLICO,ORIENTADOR DE DEFENSA O ESPÍRITU,ORIENTADOR DE DEFENSA O ESPÍRITU,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0.633333,0,0.136667,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0.5,0,0.125,0,0,0,0,0,0,4,DESCENTRALIZADO,0,NACIONAL,862
